episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
60,1.0,1.9254760623632414,-3.9498475688235373,179.99116062461843,-25.08479760626869,2.739445861890399,[-25.08479760626869 2.739445861890399],0.0,False,True,0.3045065685941554,1,46.07287348472507,203.065,prepare,0.0
60,2.0,1.9257709884643042,-3.9498729705810547,-180.0,30.0,2.588606974107843,[30.0 2.588606974107843],0.5763446207888223,False,True,0.30386643899346855,1,46.07287348472507,203.141,in_progress,0.0
60,3.0,1.9156491471661123,-3.94929078690379,179.78213131026476,-30.0,0.9482390851800118,[-30.0 0.9482390851800118],0.43278367188289174,False,True,0.32583563807445837,1,46.07287348472507,203.204,in_progress,0.0
60,4.0,1.8968151723483433,-3.944239331300673,179.36799327047447,30.0,2.0920345189630347,[30.0 2.0920345189630347],0.5252130968994234,False,True,0.36671430135994504,1,46.07287348472507,203.269,in_progress,0.0
60,5.0,1.8657168118773109,-3.9389085105294663,178.3389479580549,30.0,0.5,[30.0 0.5],0.3818330785247825,False,True,0.4342125017518583,2,46.07287348472507,203.342,in_progress,0.0
60,6.0,1.8299154112555445,-3.952642592128487,-178.43465109164558,-13.554376811024717,2.7293274524239166,[-13.554376811024717 2.7293274524239166],0.7472947824240397,False,True,0.5119185311655349,2,46.07287348472507,203.407,in_progress,0.0
60,7.0,1.7954109852780802,-3.9654817338550052,-175.3768335381045,-30.0,4.0,[-30.0 4.0],0.6898457002593884,False,True,0.5868095101032905,2,46.07287348472507,203.466,in_progress,0.0
60,8.0,1.746186039595539,-3.9675428514710447,-176.0442748609326,6.830008570748866,0.5,[6.830008570748866 0.5],0.6106496070920547,False,True,0.6936510026332953,2,46.07287348472507,203.54,in_progress,0.0
60,9.0,1.7033322069910701,-3.9689853327125557,-176.89116872764905,18.584299211424963,1.832881118530209,[18.584299211424963 1.832881118530209],0.6057497965778542,False,True,0.7866641562814537,3,46.07287348472507,203.606,in_progress,0.0
60,10.0,1.6608556738702096,-3.9782373150585855,-175.23763710509098,10.978529342807668,2.146230127028841,[10.978529342807668 2.146230127028841],0.7155974043461016,False,True,0.8788583909973394,3,46.07287348472507,203.663,in_progress,0.0
60,11.0,1.6069147850754808,-3.996323194530053,-172.1287691135953,2.952178441467865,3.388806646361318,[2.952178441467865 3.388806646361318],0.894909662185766,False,True,0.9959357180987459,3,46.07287348472507,203.737,in_progress,0.0
60,12.0,1.5373611678597783,-4.019354164253803,-169.0813224544471,30.0,0.5,[30.0 0.5],0.3559343417545693,False,True,1.1469000751162484,3,46.07287348472507,203.801,in_progress,0.0
60,13.0,1.463763675085417,-4.045602923680577,-166.46523610123,-28.440056773274595,4.0,[-28.440056773274595 4.0],0.6571032056093512,False,True,1.3066415611747675,4,46.07287348472507,203.872,in_progress,0.0
60,14.0,1.3859333214804486,-4.078906381075592,-163.94098639911508,-30.0,0.5,[-30.0 0.5],0.3447778432938325,False,True,1.4755703640000835,4,46.07287348472507,203.94,in_progress,0.0
60,15.0,1.3186116097241074,-4.099485941635499,-162.8032624480689,9.186813365183312,3.9648693514838302,[9.186813365183312 3.9648693514838302],0.8457756518352713,False,True,1.6216904269882555,4,46.07287348472507,204.01,in_progress,0.0
60,16.0,1.24792604205932,-4.120359238831553,-162.48863111582207,10.77610457451297,0.772070786646507,[10.77610457451297 0.772070786646507],0.5451064998875594,False,True,1.775111653663476,4,46.07287348472507,204.071,in_progress,0.0
60,17.0,1.1930929714752605,-4.146558654083173,-161.1864789250378,-15.972031342533326,1.0062593080586402,[-15.972031342533326 1.0062593080586402],0.49816805249453033,False,True,1.8941254386453017,4,46.07287348472507,204.14,in_progress,0.0
60,18.0,1.1300853154444002,-4.1697194283012085,-160.98007095329106,-14.949521588622416,0.5,[-14.949521588622416 0.5],0.46481983404320804,False,True,2.030881953412608,5,46.07287348472507,204.207,in_progress,0.0
60,19.0,1.0694764244944293,-4.177254710694246,-163.90237839422818,2.817348791372112,1.086250848068585,[2.817348791372112 1.086250848068585],0.6424458905714057,False,True,2.162432009586259,5,46.07287348472507,204.272,in_progress,0.0
60,20.0,1.017259787831252,-4.186479621477758,-165.4161911159003,20.21430529881718,3.3769944565497365,[20.21430529881718 3.3769944565497365],0.6647777934696609,False,True,2.275766891293798,5,46.07287348472507,204.342,in_progress,0.0
60,21.0,0.955193119879006,-4.208463149831517,-164.15338320113588,-2.651963163548892,3.8732545412149033,[-2.651963163548892 3.8732545412149033],0.8728251036716229,False,True,2.4104810153712193,5,46.07287348472507,204.41,in_progress,0.0
60,22.0,0.885753491921043,-4.241724262466902,-161.30124644026068,1.0800387809171,4.0,[1.0800387809171 4.0],0.8810846819690402,False,True,2.5611979616042015,5,46.07287348472507,204.48,in_progress,0.0
60,23.0,0.7912150574377121,-4.28540761629065,-158.90095277133116,-30.0,0.6271715776785163,[-30.0 0.6271715776785163],0.2961001547333977,False,True,2.766391228993252,6,46.07287348472507,204.544,in_progress,0.0
60,24.0,0.7020663543399746,-4.324610260434417,-157.0967071784543,5.459746066440687,1.209540173955894,[5.459746066440687 1.209540173955894],0.5801311446167957,False,True,2.959884935188243,6,46.07287348472507,204.606,in_progress,0.0
60,25.0,0.6278297838351342,-4.359477954415217,-156.25423492208844,4.617817916704254,3.2567201026168577,[4.617817916704254 3.2567201026168577],0.7506906356536475,False,True,3.1210134035191976,6,46.07287348472507,204.664,in_progress,0.0
